Id,Needs_NSC_Review__c,NSC_Review_Reason__c
003f400000KvxVFAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000TlTSvAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVeAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxdbAAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxdHAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start)
003f400000KvxQQAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000TlTLxAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVdAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxWhAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxVRAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start)
003f400000KvxUnAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxQRAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start)
003f400000KvxV5AAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2018 start)
003f400000TlTM8AAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxROAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2015 start)
003f400000KvxWbAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxRiAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxNuAAJ,True,<Changed>Date discrepancy (Database has 08/21/15-05/15/18 and NSC has 08/23/17-05/15/18): San Francisco State University
003f400000KvxFxAAJ,True,<Warning>Transferred out enrollment not confirmed by NSC: Canada College (Jan 2014 start); <Warning>Transferred out enrollment not confirmed by NSC: Harvey Mudd College (Aug 2011 start); <Warning>Graduated enrollment not confirmed by NSC: Harvey Mudd College (Sep 2014 start)
003f400000KvxFZAAZ,True,<Warning>Attending enrollment not confirmed by NSC: College of San Mateo (Aug 2017 start); <Warning>Transferred out enrollment not confirmed by NSC: Foothill College (Apr 2017 start); <Warning>Transferred out enrollment not confirmed by NSC: Foothill College (Jun 2014 start); <Warning>Transferred out enrollment not confirmed by NSC: Foothill College (Jul 2013 start); <Warning>Transferred out enrollment not confirmed by NSC: Foothill College (Jul 2012 start); <Warning>Graduated enrollment not confirmed by NSC: University of California-San Diego (Sep 2011 start)
003f400000KvxM2AAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxWPAAZ,True,<Changed>Discrepancies (Database has Attending 09/05/17-present and NSC has Withdrew 01/29/18-05/25/18): Evergreen Valley College
003f400000KvxV0AAJ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start)
003f400000Kvxe3AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000Kvxd3AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxcyAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start)
003f400000KvxSEAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2015 start)
003f400000KvxdRAAR,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxRAAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxW7AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxTKAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxWNAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start); <Added>NSC indicates previously unreported enrollment (Withdrew):  (Aug 2016 start); <Warning>Attending enrollment not confirmed by NSC: Clovis Community College (NM) (Aug 2016 start)
003f400000KvyByAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxdrAAB,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start)
003f400000KvxdgAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVaAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxQkAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxfsAAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000TlTMcAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVOAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxQXAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVZAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxQvAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxWOAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxeBAAR,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxdKAAR,True,<Changed>Date discrepancy (Database has 08/21/17-present and NSC has 08/20/18-present): University of Houston-Downtown
003f400000Kvxe4AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxVTAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start); <Added>NSC indicates previously unreported enrollment (Transferred out):  (Aug 2017 start); <Warning>Attending enrollment not confirmed by NSC: Clovis Community College (NM) (Aug 2017 start)
003f400000KvxTSAAZ,True,<Warning>Attending enrollment not confirmed by NSC: Northeastern University (Sep 2016 start)
003f400000KvxeHAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000TlTLXAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxWXAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000TlTKVAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxK5AAJ,True,<Warning>Withdrew enrollment not confirmed by NSC: California Polytechnic State University-San Luis Obispo (Jan 2015 start); <Warning>Withdrew enrollment not confirmed by NSC: California Polytechnic State University-San Luis Obispo (Sep 2013 start)
003f400000KvxWjAAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2018 start)
003f400000KvxcuAAB,True,<Warning>Attending enrollment not confirmed by NSC: California State University-Long Beach (Aug 2017 start)
003f400000KvxdoAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxW6AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxSQAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxUtAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000Kvxe5AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxVLAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxQdAAJ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start)
003f400000KvyA3AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxRIAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2015 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxRyAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2018 start)
003f400000KvxfxAAB,True,<Warning>Attending enrollment not confirmed by NSC: University of California-Berkeley (Aug 2017 start)
003f400000TlTRZAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVUAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxdcAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxfjAAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxdWAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000Kvxe6AAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxVQAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxHKAAZ,True,<Warning>Attending enrollment not confirmed by NSC: Pacific University (Aug 2012 start); <Warning>Transferred out enrollment not confirmed by NSC: College of San Mateo (Jun 2013 start)
003f400000KvxKBAAZ,True,<Warning>Transferred out enrollment not confirmed by NSC: University of California-Berkeley (Jan 2014 start)
003f400000KvxQUAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxWiAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start)
003f400000KvxQAAAZ,True,<Changed>Date discrepancy (Database has 08/24/15-05/11/18 and NSC has 01/08/18-05/11/18): University of Hawaii at Manoa
003f400000KvxfyAAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start)
003f400000KvxUsAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Jun 2017 start)
003f400000KvxFfAAJ,True,<Warning>Graduated enrollment not confirmed by NSC: University of Colorado Boulder (Aug 2011 start)
003f400000KvxVGAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVbAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxHQAAZ,True,<Warning>Withdrew enrollment not confirmed by NSC: San Francisco State University (Aug 2012 start)
003f400000KvxWaAAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start); <Added>NSC indicates previously unreported enrollment (Transferred out):  (Jan 2018 start)
003f400000KvxeFAAR,True,<Warning>Attending enrollment not confirmed by NSC: Evergreen Valley College (Sep 2017 start)
003f400000KvxWRAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxdMAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxR5AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2016 start)
003f400000KvxR4AAJ,True,<Changed>New unreported left college: Evergreen Valley College (Aug 2015 start)
003f400000KvxRMAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxV2AAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxgXAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxPsAAJ,True,<Warning>Attending enrollment not confirmed by NSC: DeSales University (Aug 2015 start); <Warning>Attending enrollment not confirmed by NSC: Atlantic Cape Community College (Jan 2017 start)
003f400000KvxcxAAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000Kvxd0AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000TlTKEAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVoAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000TlTPgAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxQYAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start)
003f400000KvxWGAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxQPAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxGPAAZ,True,<Warning>Attending enrollment not confirmed by NSC: University of Southern California (Aug 2016 start); <Warning>Transferred out enrollment not confirmed by NSC: Canada College (Jun 2014 start); <Warning>Transferred out enrollment not confirmed by NSC: University of Southern California (Aug 2011 start)
003f400000OdnFYAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
